,stopping_criteria,answer_how,sampling_strategy,aggregation_strategy,k,model,accuracy,entropy,length
215,end_token,answer_first,top_k,second_moment,4,Qwen_Qwen3_1_7B,0.56,0.3208753236920298,200.0
216,end_token,answer_first,top_k,second_moment,4,Qwen_Qwen3_4B,0.82,1.3234348821911552,200.0
217,end_token,answer_first,top_k,second_moment,8,microsoft_phi_4_mini_instruct,0.02,2.2543746806980023,64.72
218,end_token,answer_first,top_k,second_moment,8,microsoft_phi_4_mini_reasoning,0.06,1.8345635792626338,33.06
219,end_token,answer_first,top_k,second_moment,8,Qwen_Qwen2_5_3B_Instruct,0.78,1.7443339762001477,200.0
220,end_token,answer_first,top_k,second_moment,8,Qwen_Qwen2_5_0_5B_Instruct,0.02,2.4805346306908724,200.0
221,end_token,answer_first,top_k,second_moment,8,Qwen_Qwen3_0_6B,0.0,1.0033054370761256,200.0
222,end_token,answer_first,top_k,second_moment,8,Qwen_Qwen3_1_7B,0.5,0.36803292660729764,200.0
223,end_token,answer_first,top_k,second_moment,8,Qwen_Qwen3_4B,0.6,1.573526244654148,200.0
224,end_token,think_first,nucleus,weighted_sum,1,microsoft_phi_4_mini_instruct,0.64,0.5245014127427559,196.64
225,end_token,think_first,nucleus,weighted_sum,1,microsoft_phi_4_mini_reasoning,0.64,0.11436085031357318,200.0
226,end_token,think_first,nucleus,weighted_sum,1,Qwen_Qwen2_5_3B_Instruct,0.86,0.2787169844902849,200.0
227,end_token,think_first,nucleus,weighted_sum,1,Qwen_Qwen2_5_0_5B_Instruct,0.18,0.28736136996440986,200.0
228,end_token,think_first,nucleus,weighted_sum,1,Qwen_Qwen3_0_6B,0.56,0.3473808154435027,199.92
229,end_token,think_first,nucleus,weighted_sum,1,Qwen_Qwen3_1_7B,0.78,0.10238676898637418,200.0
230,end_token,think_first,nucleus,weighted_sum,1,Qwen_Qwen3_4B,0.84,0.08512443581292928,200.0
231,end_token,think_first,nucleus,weighted_sum,2,microsoft_phi_4_mini_instruct,0.64,0.5245014127427559,196.64
232,end_token,think_first,nucleus,weighted_sum,2,microsoft_phi_4_mini_reasoning,0.58,0.11436085031357318,200.0
233,end_token,think_first,nucleus,weighted_sum,2,Qwen_Qwen2_5_3B_Instruct,0.78,0.2787169844902849,200.0
234,end_token,think_first,nucleus,weighted_sum,2,Qwen_Qwen2_5_0_5B_Instruct,0.26,0.28736136996440986,200.0
235,end_token,think_first,nucleus,weighted_sum,2,Qwen_Qwen3_0_6B,0.6,0.3473808154435027,199.92
236,end_token,think_first,nucleus,weighted_sum,2,Qwen_Qwen3_1_7B,0.84,0.10238676898637418,200.0
237,end_token,think_first,nucleus,weighted_sum,2,Qwen_Qwen3_4B,0.84,0.08512443581292928,200.0
